4979	7575	
7937	10172	
2655	7869	
12015	7165	
1655	4565	
12541	6699	
9897	8855	
4652	13809	
7993	3482	
9209	3098	
8764	13283	
971	11260	
4503	14508	
8664	12799	
10424	9212	
13207	14929	
10574	1199	
5529	2967	
7581	6282	
3809	11538	
2641	5053	
8338	1283	
300	12029	
10664	2556	
2538	1117	
2262	4317	
4785	896	
871	4488	
5495	14894	
14704	825	
6507	8137	
4554	9581	
6781	3930	
11117	10374	
8298	12597	
13184	7017	
5080	6118	
566	5477	
12408	8238	
2754	13263	
937	8030	
4075	6126	
1792	414	
10218	8448	
10165	4123	
9320	3287	
4458	10195	
11365	3652	
2117	966	
1379	1926	
8924	14643	
233	11895	
3576	10851	
6643	9564	
7089	9614	
11383	7854	
761	14657	
11066	74	
10550	9321	
793	10145	
3167	7599	
3036	9316	
12247	3031	
7740	5353	
13095	14262	
7341	13082	
14454	6479	
11839	3688	
1716	9875	
3895	1004	
9788	14595	
11122	2981	
10720	1523	
4649	7779	
2086	13452	
9351	13519	
13199	10246	
2272	13109	
10048	9281	
1324	3767	
9738	12846	
11857	1719	
1357	11255	
11943	1696	
6177	3863	
14452	7730	
4700	6031	
6432	11536	
3296	14214	
12522	7464	
9660	9844	
3881	13158	
5218	3348	
11400	12661	
6345	6620	
11105	14619	
10393	12034	
3418	4272	
7851	6324	
6004	7795	
10323	5908	
12496	4193	
10982	11143	
8980	899	
9917	13176	
8579	11987	
4292	9925	
1603	12154	
9812	5653	
7384	1	
13748	3421	
12694	2058	
14055	5262	
6659	3362	
11774	7205	
10699	1877	
9278	14719	
933	11582	
3220	4470	
14299	7706	
14533	8508	
12295	1040	
7587	14747	
13240	10519	
9017	3526	
8956	9611	
14583	744	
10999	5038	
121	14415	
6634	13183	
11778	3660	
1055	11874	
11534	5762	
3937	3620	
9348	12409	
14856	11369	
12291	7158	
5914	4315	
14468	1097	
8757	10577	
13764	14138	
14448	2002	
13469	10064	
12802	8780	
7931	6824	
14234	5030	
4097	8934	
7413	726	
12158	13251	
11878	4239	
14706	4116	
11776	10339	
14866	9714	
3287	7065	
3211	3707	
7069	4547	
7363	12989	
1328	5055	
8731	3562	
10240	10952	
7392	7524	
10383	7872	
9673	11935	
641	6172	
5779	1013	
1458	12188	
840	13994	
5959	11718	
11431	5941	
13804	6637	
4036	13343	
8445	11939	
3848	8651	
336	2288	
12691	8386	
10151	14150	
11566	12369	
8268	5835	
893	5138	
414	6954	
1041	6500	
13768	5622	
6812	13128	
1087	9012	
3845	857	
2156	10868	
2292	14223	
600	7371	
1832	11840	
13212	2129	
7555	4827	
1611	9994	
11399	8691	
11103	6675	
4505	700	
14456	14130	
372	445	
3491	14706	
7401	11073	
3871	130	
322	4972	
3475	14873	
13310	1791	
14651	10785	
1870	12121	
6249	5861	
7878	11714	
9735	871	
4184	12636	
10627	10387	
1986	12160	
4084	2458	
279	8706	
6857	11771	
11651	2947	
7393	10820	
1960	10057	
4029	513	
7390	765	
8409	13207	
7568	3528	
9321	2536	
7809	13826	
6336	11003	
14980	8113	
8028	10991	
3243	171	
14230	13236	
4256	10841	
2205	11374	
